序号,chunk_id,公司报告期,章节,页码,问题,答案,依据原文,依据是否逐字命中(自动),质检有据,质检自然,块原文(供核对),判定(留/删),编造类型,备注
11,600519_2024_p022_s0_c1,贵州茅台 2024年报,第三节 管理层讨论与分析,22,公司2025年度主题色是什么？应用在什么产品上？,2025年度主题色是“绛纱色”，应用在蛇年生肖酒包装上。这是公司持续开展东方美学色彩体系研究后发布的。,持续开展东方美学色彩体系研究，发布2025年度主题色——“绛纱色”，应用于蛇年生肖酒包装；,否,2,1,"库，持续优化并构建全面的生产评价体系，持续推进产品开发研究。数字赋能方面，加强数字化
专业人才的引进、培养和激励，持续提升数字化团队专业能力。围绕“智慧茅台2.0”规划，建设
集产品设计、生产、质量、物流系统集成的数字化供应链，构建园区智能化管理运营平台。深化
改革方面，以“双百行动”为主要载体，抓好组织实施，确保高质量完成改革任务；持续优化制
度建设，开展制度地图梳理工作并形成长效机制，进一步提升工作质效；持续提升绩效管理水平，
优化完善内部相关方满意度测评及配套制度；持续优化管理创新全周期管理，强化创新项目成果
落地转化；动态优化完善对标管理体系，促进体系实效落地，进一步提升现代企业治理能力和水
平。人才队伍建设方面，围绕“德才兼备、人尽其才、人企共进”的人才理念，聚焦人才“引、
育、用、留”，制定人力资源规划，围绕全员劳动生产率启动人力资源体制改革，不断提高专业
人才当量密度，夯实企业发展基础。
（四）塑强品牌文化势能，赋能战略布局。围绕“顺天敬人，明理厚德”的企业核心价值观，
以“文化建设年”为抓手，不断丰富茅台文化的表达形态、价值内涵与体验场景，积蓄强劲文化
动能。一是强化文化内部建设。持续完善企业文化建设顶层设计，建立健全相关制度体系，加大
企业文化管控力度，确保文化建设的持续性与稳定性；积极开展文化研究、策划，抓好企业文化
艺术创作，营造良好文化氛围，推动茅台文化深入",,,
12,600519_2024H1_p086_s0_c1,贵州茅台 2024H1半年报,第十节 财务报告,86,公司销售收款方式对信用风险有什么影响？,影响比较小，因为公司销售以预收款项方式进行，交易的信用风险小。公司只和经认可且信誉良好的第三方交易，所以不需要担保物，信用风险按客户进行管理。,本公司销售以预收款项方式进行，交易的信用风险小。,是,2,1,"未能在预计时点收到预计金额的政府补助的原因
□适用 √不适用
2、 涉及政府补助的负债项目
□适用 √不适用
3、 计入当期损益的政府补助
√适用 □不适用
单位：元 币种：人民币
十二、与金融工具相关的风险
1、 金融工具的风险
√适用 □不适用
公司的主要金融工具，包括其他非流动金融资产、货币资金等。这些金融工具的主要目的
在于为本公司的运营融资。本公司具有多种因经营而直接产生的其他金融资产和负债，如应收账
款、其他应收款、应付账款、其他应付款等。
公司的金融工具导致的主要风险是信用风险、流动风险、汇率风险及利率风险。
（1）信用风险
公司金融资产包括货币资金、应收账款、其他应收款等，这些金融资产的信用风险源自交易
对手违约，最大风险敞口等于这些工具的账面金额。
由于公司仅与经认可的且信誉良好的第三方进行交易，所以无需担保物。信用风险集中按照
客户进行管理。本公司销售以预收款项方式进行，交易的信用风险小。
（2）流动性风险
流动风险，是指企业在履行以交付现金或其他金融资产的方式结算的义务时发生资金短缺的
风险。
公司的政策是确保拥有充足的现金以偿还到期债务。各子公司负责监控自身的现金流量预
测，公司财务部门在汇总各子公司现金流量预测的基础上，在集团层面持续监控短期和长期的资
金需求，以确保维持现金需求。
（3）汇率风险
公司面临的外汇变动风险主要与公司的经营活动(当收支以不同于",,,
13,600519_2021H1_p010_s0_c1,贵州茅台 2021H1半年报,第四节 公司治理,10,请问公司2021年上半年的利润分配或资本公积金转增股本预案是怎样的？,我们2021年半年度没有做利润分配，也没有做资本公积金转增股本。依据是这一节里明确写了是否分配或转增为“否”。,是否分配或转增 否,是,2,1,"□适用 √不适用
二、 公司董事、监事、高级管理人员变动情况
√适用 □不适用
公司董事、监事、高级管理人员变动的情况说明
√适用 □不适用
王焱先生因工作变动，于2021年1月6日辞去公司董事职务，详见《贵州茅台关于董事辞职
的公告》（公告编号：临2021－002）。
三、利润分配或资本公积金转增预案
半年度拟定的利润分配预案、公积金转增股本预案
是否分配或转增 否
四、公司股权激励计划、员工持股计划或其他员工激励措施的情况及其影响
(一) 相关股权激励事项已在临时公告披露且后续实施无进展或变化的
□适用 √不适用
(二) 临时公告未披露或有后续进展的激励情况
股权激励情况
□适用 √不适用
其他说明
□适用 √不适用
员工持股计划情况
□适用 √不适用
其他激励措施
□适用 √不适用",,,
14,600519_2021_p037_s0_c1,贵州茅台 2021年报,第六节 重要事项,37,在关联方采购和保险这两块，公司本期分别发生了多少金额？,"采购和保险这两笔金额都不大。向上海仁彩印务有限公司采购原材料，本期发生额是1,249.09万元；向华贵人寿保险股份有限公司购买女职工安康综合保障保险，本期发生额是47.75万元。","A.公司向上海仁彩印务有限公司采购原材料，本期发生额1,249.09万元。",是,2,1,"（2）经股东大会审议通过的与同一关联人发生的关联交易
公司使用母公司中国贵州茅台酒厂（集团）有限责任公司注册商标，本报告期发生商标使用权费
133,272.87万元。
（3）与其他关联方的关联交易
A.公司向上海仁彩印务有限公司采购原材料，本期发生额1,249.09万元。
B.公司向华贵人寿保险股份有限公司购买女职工安康综合保障保险，本期发生额47.75万元。
C.公司在贵州银行的期末存款余额为2,381,089.92万元（含大额存单200,000.00万元），本期利
息收入为44,523.73万元，投资收益5,976.13万元。公司控股子公司贵州茅台集团财务公司从公开
市场申购贵州银行股份有限公司发行的债券，支付总价10,000.00万元，本期确认利息收入17.96
万元，截至期末，该债权投资减值准备余额5.67万元，应计利息余额17.96万元，账面价值10,012.29
万元。
(二)资产或股权收购、出售发生的关联交易
1、 已在临时公告披露且后续实施无进展或变化的事项
□适用 √不适用
2、 已在临时公告披露，但有后续实施的进展或变化的事项
□适用 √不适用
3、 临时公告未披露的事项
□适用 √不适用",,,
15,600519_2022H1_p094_s0_c1,贵州茅台 2022H1半年报,第十节 财务报告,94,关于非经常性损益的披露，公司这次有没有把界定为经常性损益的项目做说明？投资收益这一项有没有数据？,先说明两点。第一，非经常性损益这块，公司根据《公开发行证券的公司信息披露解释性公告第1号——非经常性损益》的定义来界定项目，对于把公告里列举的非经常性损益项目界定为经常性损益的项目，需要说明原因，但这次我们的勾选是“不适用”，也就是没有需要说明的情形。第二，投资收益这一项，原文只列了“单位：元 币种：人民币”的表头，具体金额没有在本页体现，我这边不能给你编数字。,□适用 √不适用,是,2,1,"(2). 履约义务的说明
√适用 □不适用
在客户获得合同约定中所属商品的控制权时，公司完成合同履约义务时点确认收入。
(3). 分摊至剩余履约义务的说明
√适用 □不适用
本报告期末已签订合同、但尚未履行或尚未履行完毕的履约义务所对应的收入金额为
56,644,778.54元。
5、 投资收益
√适用 □不适用
单位：元 币种：人民币
十五、 补充资料
1、 当期非经常性损益明细表
√适用 □不适用
单位：元 币种：人民币
对公司根据《公开发行证券的公司信息披露解释性公告第1号——非经常性损益》定义界定的非
经常性损益项目，以及把《公开发行证券的公司信息披露解释性公告第1号——非经常性损益》
中列举的非经常性损益项目界定为经常性损益的项目，应说明原因。
□适用 √不适用",,,
16,600519_2022_p075_s0_c2,贵州茅台 2022年报,第十节 财务报告,75,如果是以发行权益性证券作为对价进行同一控制下合并，长期股权投资的初始成本和股本怎么确认，差额又怎么处理？,这块我们的处理是这样的：合并方以发行权益性证券作为合并对价的，在合并日还是按照被合并方所有者权益在最终控制方合并财务报表中的账面价值的份额，作为长期股权投资的初始投资成本。同时，按照发行股份的面值总额作为股本。初始投资成本和所发行股份面值总额之间的差额，调整资本公积；资本公积不足冲减的，调整留存收益。,合并方以发行权益性证券作为合并对价的，在合并日按照被合并方所有者权益在最终控制方合并财务报表中的账面价值的份额作为长期股权投资的初始投资成本。按照发行股份的面值总额作为股本，长期股权投资初始投资成本与所发行股份面值总额之间的差额，调整资本公积；资本公积不足冲减的，调整留存收益。,否,2,1,"变回报，
并且有能力运用对被投资方的权力影响其回报金额。重大影响，是指投资方对被投资单位的财务
和经营政策有参与决策的权力，但并不能够控制或者与其他方一起共同控制这些政策的制定。
（2）投资成本的确认:
A.对于企业合并形成的长期股权投资：
同一控制下的企业合并，合并方以支付现金、转让非现金资产或承担债务方式作为合并对价
的，应当在合并日按照被合并方所有者权益在最终控制方合并财务报表中的账面价值的份额作为
长期股权投资的初始投资成本。长期股权投资初始投资成本与支付的现金、转让的非现金资产以
及所承担债务账面价值之间的差额，应当调整资本公积；资本公积不足冲减的，调整留存收益。
合并方以发行权益性证券作为合并对价的，在合并日按照被合并方所有者权益在最终控制方合并
财务报表中的账面价值的份额作为长期股权投资的初始投资成本。按照发行股份的面值总额作为
股本，长期股权投资初始投资成本与所发行股份面值总额之间的差额，调整资本公积；资本公积
不足冲减的，调整留存收益。
非同一控制下的企业合并，在购买日应当按照《企业会计准则第20号——企业合并》的有关
规定确定的合并成本作为长期股权投资的初始投资成本。
B.对于以企业合并以外的其他方式取得的长期股权投资：
支付现金取得的长期股权投资，按照实际支付的购买价款作为初始投资成本；发行权益性证
券取得的长期股权投资，以发行权益性证券的公允价值作为初始投资",,,
17,600519_2023H1_p096_s0_c1,贵州茅台 2023H1半年报,第十节 财务报告,96,这期有没有关联方承诺、重要承诺事项或者重要的或有事项需要披露？,这几项都是不适用，也就是没有需要按这几个科目披露的内容。关联方承诺、重要承诺事项、资产负债表日存在的重要或有事项，勾选的都是“不适用”。,□适用 √不适用,是,2,1,"注：公司控股子公司贵州茅台集团财务有限公司吸收关联方存款、对关联方发放贷款及垫款情况 已在“第十节 财务报告 十一、关联
方及关联交易 4、关联交易情况（7）其他关联交易”披露。
6、 关联方承诺
□适用 √不适用
十二、 承诺及或有事项
1、 重要承诺事项
□适用 √不适用
2、 或有事项
(1). 资产负债表日存在的重要或有事项
□适用 √不适用
(2). 公司没有需要披露的重要或有事项，也应予以说明：
□适用 √不适用
十三、 资产负债表日后事项
1、 重要的非调整事项
□适用 √不适用
2、 利润分配情况
□适用 √不适用
3、 销售退回
□适用 √不适用
4、 其他资产负债表日后事项说明
□适用 √不适用
十四、 母公司财务报表主要项目注释
1、 应收账款
(1). 按账龄披露
√适用 □不适用
单位：元 币种：人民币",,,
18,600519_2022H1_p064_s0_c1,贵州茅台 2022H1半年报,第十节 财务报告,64,关于中枢城区到茅台道路改建项目，公司在长期待摊费用这块是怎么处理的？,这个项目是放在长期待摊费用里做摊销处理的。具体来说，这个项目是根据第二届董事会2013年度第三次会议决议，我们公司和仁怀市城市开发建设投资经营有限责任公司共同对中枢城区到茅台道路改建项目完成转入摊销的。,"注：中枢城区到茅台道路改建项目是根据第二届董事会 2013 年度第三次会议决议，公司与仁怀
市城市开发建设投资经营有限责任公司共同对中枢城区到茅台道路改建项目完成转入摊销。",是,2,1,"16、 开发支出
√适用 □不适用
单位：元 币种：人民币
17、 长期待摊费用
√适用 □不适用
单位：元 币种：人民币
注：中枢城区到茅台道路改建项目是根据第二届董事会 2013 年度第三次会议决议，公司与仁怀
市城市开发建设投资经营有限责任公司共同对中枢城区到茅台道路改建项目完成转入摊销。
18、 递延所得税资产/ 递延所得税负债
(1). 未经抵销的递延所得税资产
√适用 □不适用
单位：元 币种：人民币",,,
19,600519_2021H1_p021_s1_c1,贵州茅台 2021H1半年报,第七节 股份变动及股东情况,21,截至报告期末，公司普通股股东总数是多少户？,"是146,298户。截至报告期末，普通股股东总数为146,298户。","截止报告期末普通股股东总数(户) 146,298",是,2,1,"第七节 股份变动及股东情况
一、股本变动情况
(一) 股份变动情况表
1、 股份变动情况表
报告期内，公司股份总数及股本结构未发生变化。
2、 股份变动情况说明
□适用 √不适用
3、 报告期后到半年报披露日期间发生股份变动对每股收益、每股净资产等财务指标的影响（如
有）
□适用 √不适用
4、 公司认为必要或证券监管机构要求披露的其他内容
□适用 √不适用
(二) 限售股份变动情况
□适用 √不适用
二、股东情况
(一) 股东总数：
截止报告期末普通股股东总数(户) 146,298
(二) 截止报告期末前十名股东、前十名流通股东（或无限售条件股东）持股情况表
单位：股",,,
20,600519_2023_p103_s0_c1,贵州茅台 2023年报,第十节 财务报告,103,公司在渠道和业务往来中，应付供应商的款项是怎么在报表里列示的？,您问的是我们应付供应商款项的列报口径。这部分体现在应付账款科目下，我们是按应付账款列示来披露的，适用这个口径，单位是元、币种是人民币。,(1). 应付账款列示,是,2,1,"23、 其他非流动资产
√适用 □不适用
单位：元 币种：人民币
24、 所有权或使用权受限资产
√适用 □不适用
单位：元 币种：人民币
25、 应付账款
(1). 应付账款列示
√适用 □不适用
单位：元 币种：人民币
26、 合同负债
(1). 合同负债情况
√适用 □不适用
单位：元 币种：人民币
(2). 账龄超过1年的重要合同负债
□适用 √不适用
(3). 报告期内账面价值发生重大变动的金额和原因
□适用 √不适用",,,
